Q,A
0,-2.054759302
10.065,-1.322826804
24.9711,-0.804311262
50.0379,-0.028602621
100.068,1.426856676
200.017,4.627905178
299.947,6.069591881
500.043,7.358676797
750.145,7.846761373
1000.16,8.894907237
1499.93,8.742426885
1999.78,8.451888284
